time,value
2024-01-02 11:30:00.238521,35.03
2024-01-02 11:45:00.238521,37.78
2024-01-02 12:00:00.238521,37.29
2024-01-02 12:15:00.238521,21.07
2024-01-02 12:30:00.238521,38.17
2024-01-02 12:45:00.238521,26.83
2024-01-02 13:00:00.238521,28.56
2024-01-02 13:15:00.238521,34.72
2024-01-02 13:30:00.238521,31.6
2024-01-02 13:45:00.238521,24.22
2024-01-02 14:00:00.238521,38.24
2024-01-02 14:15:00.238521,44.88
2024-01-02 14:30:00.238521,20.36
2024-01-02 14:45:00.238521,22.86
2024-01-02 15:00:00.238521,41.76
2024-01-02 15:15:00.238521,36.35
2024-01-02 15:30:00.238521,43.14
2024-01-02 15:45:00.238521,46.27
2024-01-02 16:00:00.238521,25.05
2024-01-02 16:15:00.238521,32.65
2024-01-02 16:30:00.238521,29.6
2024-01-02 16:45:00.238521,46.71
2024-01-02 17:00:00.238521,23.46
2024-01-02 17:15:00.238521,34.61
2024-01-02 17:30:00.238521,47.61
2024-01-02 17:45:00.238521,49.57
2024-01-02 18:00:00.238521,34.66
2024-01-02 18:15:00.238521,21.94
2024-01-02 18:30:00.238521,19.45
2024-01-02 18:45:00.238521,45.9
2024-01-02 19:00:00.238521,18.01
2024-01-02 19:15:00.238521,42.41
2024-01-02 19:30:00.238521,24.23
2024-01-02 19:45:00.238521,19.23
2024-01-02 20:00:00.238521,19.87
2024-01-02 20:15:00.238521,34.02
2024-01-02 20:30:00.238521,39.76
2024-01-02 20:45:00.238521,22.16
2024-01-02 21:00:00.238521,41.49
2024-01-02 21:15:00.238521,38.59
2024-01-02 21:30:00.238521,20.19
2024-01-02 21:45:00.238521,30.09
2024-01-02 22:00:00.238521,33.57
2024-01-02 22:15:00.238521,46.42
2024-01-02 22:30:00.238521,25.24
2024-01-02 22:45:00.238521,44.61
2024-01-02 23:00:00.238521,44.66
2024-01-02 23:15:00.238521,15.14
2024-01-02 23:30:00.238521,41.58
2024-01-02 23:45:00.238521,16.91
2024-01-03 00:00:00.238521,29.92
2024-01-03 00:15:00.238521,49.72
2024-01-03 00:30:00.238521,30.83
2024-01-03 00:45:00.238521,28.48
2024-01-03 01:00:00.238521,44.72
2024-01-03 01:15:00.238521,49.46
2024-01-03 01:30:00.238521,35.48
2024-01-03 01:45:00.238521,29.66
