time,value
2025-03-26 12:45:00.238521,31.68
2025-03-26 13:00:00.238521,34.91
2025-03-26 13:15:00.238521,34.02
2025-03-26 13:30:00.238521,47.77
2025-03-26 13:45:00.238521,27.2
2025-03-26 14:00:00.238521,43.62
2025-03-26 14:15:00.238521,42.32
2025-03-26 14:30:00.238521,38.36
2025-03-26 14:45:00.238521,27.78
2025-03-26 15:00:00.238521,20.14
2025-03-26 15:15:00.238521,34.91
2025-03-26 15:30:00.238521,15.45
2025-03-26 15:45:00.238521,44.99
2025-03-26 16:00:00.238521,17.14
2025-03-26 16:15:00.238521,23.13
2025-03-26 16:30:00.238521,48.73
2025-03-26 16:45:00.238521,35.49
2025-03-26 17:00:00.238521,46.74
2025-03-26 17:15:00.238521,44.76
2025-03-26 17:30:00.238521,40.06
2025-03-26 17:45:00.238521,27.05
2025-03-26 18:00:00.238521,31.11
2025-03-26 18:15:00.238521,42.28
2025-03-26 18:30:00.238521,16.95
2025-03-26 18:45:00.238521,23.67
2025-03-26 19:00:00.238521,40.43
2025-03-26 19:15:00.238521,42.17
2025-03-26 19:30:00.238521,46.43
2025-03-26 19:45:00.238521,38.4
2025-03-26 20:00:00.238521,26.39
2025-03-26 20:15:00.238521,44.94
2025-03-26 20:30:00.238521,18.43
2025-03-26 20:45:00.238521,22.33
2025-03-26 21:00:00.238521,32.67
2025-03-26 21:15:00.238521,19.42
2025-03-26 21:30:00.238521,30.13
2025-03-26 21:45:00.238521,36.98
2025-03-26 22:00:00.238521,27.12
2025-03-26 22:15:00.238521,16.4
2025-03-26 22:30:00.238521,31.33
2025-03-26 22:45:00.238521,17.78
2025-03-26 23:00:00.238521,37.86
2025-03-26 23:15:00.238521,38.8
2025-03-26 23:30:00.238521,17.38
2025-03-26 23:45:00.238521,27.79
2025-03-27 00:00:00.238521,42.57
2025-03-27 00:15:00.238521,34.38
2025-03-27 00:30:00.238521,21.6
2025-03-27 00:45:00.238521,19.34
2025-03-27 01:00:00.238521,24.93
2025-03-27 01:15:00.238521,16.49
2025-03-27 01:30:00.238521,37.11
2025-03-27 01:45:00.238521,27.6
2025-03-27 02:00:00.238521,37.89
2025-03-27 02:15:00.238521,44.3
2025-03-27 02:30:00.238521,42.76
2025-03-27 02:45:00.238521,33.91
2025-03-27 03:00:00.238521,23.15
2025-03-27 03:15:00.238521,26.11
2025-03-27 03:30:00.238521,35.59
2025-03-27 03:45:00.238521,24.54
2025-03-27 04:00:00.238521,49.55
2025-03-27 04:15:00.238521,46.1
2025-03-27 04:30:00.238521,24.21
2025-03-27 04:45:00.238521,49.15
2025-03-27 05:00:00.238521,40.35
2025-03-27 05:15:00.238521,46.57
2025-03-27 05:30:00.238521,16.47
2025-03-27 05:45:00.238521,22.77
2025-03-27 06:00:00.238521,28.63
2025-03-27 06:15:00.238521,41.82
2025-03-27 06:30:00.238521,46.3
2025-03-27 06:45:00.238521,41.37
2025-03-27 07:00:00.238521,18.03
2025-03-27 07:15:00.238521,34.09
2025-03-27 07:30:00.238521,18.36
2025-03-27 07:45:00.238521,43.37
2025-03-27 08:00:00.238521,43.12
2025-03-27 08:15:00.238521,35.22
2025-03-27 08:30:00.238521,26.05
2025-03-27 08:45:00.238521,36.33
2025-03-27 09:00:00.238521,19.21
2025-03-27 09:15:00.238521,47.88
2025-03-27 09:30:00.238521,29.25
2025-03-27 09:45:00.238521,24.54
2025-03-27 10:00:00.238521,27.04
2025-03-27 10:15:00.238521,48.73
2025-03-27 10:30:00.238521,19.2
2025-03-27 10:45:00.238521,47.29
2025-03-27 11:00:00.238521,46.19
2025-03-27 11:15:00.238521,32.79
2025-03-27 11:30:00.238521,30.08
2025-03-27 11:45:00.238521,42.52
2025-03-27 12:00:00.238521,46.19
2025-03-27 12:15:00.238521,24.28
2025-03-27 12:30:00.238521,49.74
2025-03-27 12:45:00.238521,26.61
2025-03-27 13:00:00.238521,21.12
2025-03-27 13:15:00.238521,26.33
2025-03-27 13:30:00.238521,31.2
2025-03-27 13:45:00.238521,28.41
2025-03-27 14:00:00.238521,27.95
2025-03-27 14:15:00.238521,48.03
2025-03-27 14:30:00.238521,32.71
2025-03-27 14:45:00.238521,46.22
2025-03-27 15:00:00.238521,20.1
2025-03-27 15:15:00.238521,38.35
2025-03-27 15:30:00.238521,46.33
2025-03-27 15:45:00.238521,27.1
2025-03-27 16:00:00.238521,43.24
2025-03-27 16:15:00.238521,28.96
2025-03-27 16:30:00.238521,39.55
2025-03-27 16:45:00.238521,34.18
2025-03-27 17:00:00.238521,19.77
2025-03-27 17:15:00.238521,48.45
2025-03-27 17:30:00.238521,40.94
2025-03-27 17:45:00.238521,48.41
2025-03-27 18:00:00.238521,20.41
2025-03-27 18:15:00.238521,34.74
2025-03-27 18:30:00.238521,41.67
2025-03-27 18:45:00.238521,23.91
2025-03-27 19:00:00.238521,37.92
2025-03-27 19:15:00.238521,34.73
2025-03-27 19:30:00.238521,17.76
2025-03-27 19:45:00.238521,19.23
2025-03-27 20:00:00.238521,16.29
2025-03-27 20:15:00.238521,48.19
2025-03-27 20:30:00.238521,40.25
2025-03-27 20:45:00.238521,17.52
2025-03-27 21:00:00.238521,17.17
2025-03-27 21:15:00.238521,19.88
2025-03-27 21:30:00.238521,41.36
2025-03-27 21:45:00.238521,33.48
2025-03-27 22:00:00.238521,18.98
2025-03-27 22:15:00.238521,15.41
2025-03-27 22:30:00.238521,29.54
2025-03-27 22:45:00.238521,28.83
2025-03-27 23:00:00.238521,45.95
2025-03-27 23:15:00.238521,18.27
2025-03-27 23:30:00.238521,16.41
2025-03-27 23:45:00.238521,30.74
2025-03-28 00:00:00.238521,35.44
2025-03-28 00:15:00.238521,46.46
2025-03-28 00:30:00.238521,34.18
2025-03-28 00:45:00.238521,22.2
2025-03-28 01:00:00.238521,24.55
2025-03-28 01:15:00.238521,38.7
2025-03-28 01:30:00.238521,15.89
2025-03-28 01:45:00.238521,41.62
